iter	Passed	Remaining
0	0	375
1	0	351
2	1	346
3	1	342
4	1	336
5	1	331
6	2	328
7	2	326
8	2	322
9	3	320
10	3	320
11	3	318
12	4	317
13	4	313
14	4	311
15	5	311
16	5	309
17	5	309
18	5	309
19	6	314
20	6	318
21	7	320
22	7	324
23	8	327
24	8	327
25	8	326
26	8	324
27	9	322
28	9	320
29	9	318
30	10	317
31	10	316
32	10	315
33	11	314
34	11	313
35	11	315
36	12	317
37	12	316
38	12	314
39	13	313
40	13	312
41	13	310
42	13	310
43	14	309
44	14	309
45	14	308
46	15	306
47	15	305
48	15	304
49	15	302
50	16	301
51	16	303
52	16	302
53	17	300
54	17	299
55	17	297
56	17	297
57	18	297
58	18	295
59	18	294
60	19	296
61	19	295
62	19	294
63	20	293
64	20	293
65	20	293
66	20	292
67	21	289
68	21	288
69	21	287
70	22	288
71	22	287
72	22	286
73	22	285
74	23	285
75	23	284
76	23	284
77	23	283
78	24	284
79	24	283
80	24	282
81	25	281
82	25	280
83	25	280
84	25	278
85	26	277
86	26	275
87	26	274
88	26	274
89	27	273
90	27	273
91	27	272
92	27	272
93	28	271
94	28	270
95	28	270
96	29	270
97	29	269
98	29	268
99	29	267
100	30	267
101	30	266
102	30	265
103	30	265
104	31	265
105	31	264
106	31	263
107	31	263
108	32	262
109	32	263
110	32	262
111	33	263
112	33	263
113	33	262
114	34	262
115	34	261
116	34	260
117	34	259
118	34	258
119	35	258
120	35	257
121	35	257
122	35	255
123	36	255
124	36	254
125	36	254
126	36	253
127	37	252
128	37	251
129	37	252
130	38	252
131	38	251
132	38	251
133	38	250
134	39	250
135	39	250
136	39	250
137	39	249
138	40	248
139	40	248
140	40	248
141	41	247
142	41	247
143	41	247
144	41	246
145	42	246
146	42	245
147	42	245
148	42	245
149	43	244
150	43	244
151	43	244
152	44	244
153	44	244
154	44	243
155	44	243
156	45	242
157	45	242
158	45	241
159	45	241
160	46	241
161	46	241
162	46	241
163	47	240
164	47	240
165	47	240
166	48	239
167	48	239
168	48	238
169	48	238
170	49	238
171	49	238
172	49	238
173	50	238
174	50	238
175	50	237
176	51	237
177	51	236
178	51	236
179	51	235
180	51	234
181	52	234
182	52	234
183	52	234
184	53	234
185	53	234
186	53	233
187	54	233
188	54	233
189	54	232
190	54	232
191	55	232
192	55	231
193	55	231
194	55	230
195	56	230
196	56	230
197	56	230
198	57	229
199	57	229
200	57	229
201	58	229
202	58	228
203	58	228
204	58	228
205	59	227
206	59	227
207	59	227
208	60	227
209	60	227
210	60	226
211	60	226
212	61	225
213	61	225
214	61	225
215	62	225
216	62	224
217	62	224
218	62	224
219	63	223
220	63	224
221	63	223
222	64	223
223	64	222
224	64	222
225	64	222
226	65	222
227	65	221
228	65	221
229	66	220
230	66	220
231	66	220
232	66	219
233	67	219
234	67	219
235	67	218
236	67	218
237	68	218
238	68	217
239	68	217
240	68	216
241	69	216
242	69	216
243	69	215
244	69	215
245	70	215
246	70	214
247	70	214
248	70	214
249	71	213
250	71	213
251	71	212
252	72	212
253	72	212
254	72	212
255	72	212
256	73	212
257	73	211
258	73	211
259	74	211
260	74	210
261	74	210
262	75	210
263	75	210
264	75	209
265	76	209
266	76	209
267	76	209
268	76	208
269	77	208
270	77	208
271	77	207
272	77	207
273	78	207
274	78	206
275	78	206
276	78	205
277	79	205
278	79	205
279	79	204
280	79	204
281	80	204
282	80	204
283	80	203
284	81	203
285	81	203
286	81	203
287	81	202
288	82	202
289	82	202
290	82	201
291	83	201
292	83	200
293	83	200
294	83	200
295	84	199
296	84	199
297	84	199
298	84	198
299	85	198
300	85	198
301	85	198
302	86	197
303	86	197
304	86	197
305	86	196
306	87	196
307	87	196
308	87	195
309	87	195
310	88	195
311	88	195
312	88	195
313	89	194
314	89	194
315	89	194
316	89	193
317	90	193
318	90	193
319	90	193
320	91	192
321	91	192
322	91	192
323	91	191
324	92	191
325	92	191
326	92	191
327	93	190
328	93	190
329	93	190
330	93	189
331	94	189
332	94	189
333	94	188
334	94	188
335	95	187
336	95	187
337	95	187
338	95	186
339	96	186
340	96	186
341	96	185
342	96	185
343	97	185
344	97	185
345	97	184
346	98	184
347	98	184
348	98	184
349	98	183
350	99	183
351	99	183
352	99	182
353	99	182
354	100	182
355	100	181
356	100	181
357	101	181
358	101	180
359	101	180
360	101	180
361	102	179
362	102	179
363	102	179
364	102	179
365	103	178
366	103	178
367	103	178
368	103	177
369	104	177
370	104	177
371	104	176
372	105	176
373	105	176
374	105	175
375	105	175
376	106	175
377	106	175
378	106	174
379	106	174
380	107	174
381	107	173
382	107	173
383	107	173
384	108	172
385	108	172
386	108	172
387	108	171
388	109	171
389	109	171
390	109	170
391	109	170
392	110	170
393	110	169
394	110	169
395	110	169
396	111	168
397	111	168
398	111	168
399	111	167
400	112	167
401	112	167
402	112	167
403	112	166
404	113	166
405	113	166
406	113	165
407	114	165
408	114	165
409	114	164
410	114	164
411	115	164
412	115	164
413	115	163
414	116	163
415	116	163
416	116	163
417	117	162
418	117	162
419	117	162
420	117	162
421	118	161
422	118	161
423	118	161
424	119	161
425	119	160
426	119	160
427	119	160
428	120	159
429	120	159
430	120	159
431	120	159
432	121	158
433	121	158
434	121	158
435	121	157
436	122	157
437	122	157
438	122	156
439	123	156
440	123	156
441	123	156
442	123	155
443	124	155
444	124	155
445	124	154
446	125	154
447	125	154
448	125	154
449	125	153
450	126	153
451	126	153
452	126	152
453	126	152
454	127	152
455	127	151
456	127	151
457	127	151
458	128	151
459	128	150
460	128	150
461	129	150
462	129	149
463	129	149
464	129	149
465	130	149
466	130	148
467	130	148
468	130	148
469	131	148
470	131	147
471	131	147
472	132	147
473	132	146
474	132	146
475	133	146
476	133	146
477	133	146
478	134	145
479	134	145
480	134	145
481	134	144
482	135	144
483	135	144
484	135	144
485	135	143
486	136	143
487	136	143
488	136	142
489	137	142
490	137	142
491	137	142
492	138	142
493	138	141
494	138	141
495	138	141
496	139	140
497	139	140
498	139	140
499	140	140
500	140	139
501	140	139
502	141	139
503	141	139
504	141	138
505	141	138
506	142	138
507	142	137
508	142	137
509	142	137
510	143	136
511	143	136
512	143	136
513	143	136
514	144	135
515	144	135
516	144	135
517	145	134
518	145	134
519	145	134
520	145	134
521	146	133
522	146	133
523	146	133
524	146	132
525	147	132
526	147	132
527	147	132
528	148	131
529	148	131
530	148	131
531	148	130
532	149	130
533	149	130
