iter	Passed	Remaining
0	59	59317
1	59	29802
2	60	19958
3	60	15034
4	60	12097
5	61	10121
6	61	8712
7	61	7677
8	62	6871
9	63	6267
10	63	5740
11	64	5284
12	64	4896
13	64	4566
14	65	4282
15	65	4036
16	66	3823
17	66	3633
18	66	3455
19	67	3294
20	67	3155
21	68	3025
22	68	2905
23	68	2793
24	68	2690
25	69	2596
26	69	2508
27	69	2426
28	70	2349
29	70	2279
30	70	2213
31	71	2152
32	71	2092
33	71	2035
34	71	1983
35	72	1936
36	72	1892
37	73	1848
38	73	1808
39	73	1768
40	73	1730
41	74	1693
42	74	1659
43	74	1627
44	75	1596
45	75	1566
46	75	1538
47	76	1511
48	76	1488
49	77	1466
50	77	1446
51	78	1426
52	78	1405
53	79	1385
54	79	1367
55	80	1349
56	80	1331
57	80	1313
58	81	1298
59	81	1280
60	82	1264
61	82	1246
62	82	1230
63	83	1214
64	83	1200
65	83	1184
66	84	1170
67	84	1156
68	84	1141
69	84	1128
70	85	1115
71	85	1102
72	85	1090
73	86	1078
74	86	1067
75	87	1057
76	87	1047
77	87	1037
78	88	1026
79	88	1016
80	88	1006
81	88	995
82	89	984
83	89	975
84	89	966
85	90	957
86	90	948
87	90	939
88	90	931
89	91	924
90	91	917
91	92	911
92	92	905
93	93	898
94	93	891
95	93	885
96	94	878
97	94	871
98	94	864
99	95	857
100	95	851
101	95	844
102	96	838
103	96	832
104	96	826
105	97	821
106	97	815
107	97	809
108	98	803
109	98	797
110	98	791
111	99	785
112	99	780
113	99	775
114	99	769
115	100	764
116	100	759
117	100	754
118	101	749
119	101	744
120	101	739
121	102	734
122	102	729
123	102	724
124	102	720
125	103	715
126	103	710
127	103	706
128	103	702
129	104	697
130	104	693
131	104	689
132	105	686
133	105	682
134	106	679
135	106	675
136	106	673
137	107	670
138	107	667
139	108	664
140	108	660
141	108	656
142	108	652
143	109	648
144	109	645
145	109	642
146	110	639
147	110	636
148	110	633
149	111	630
150	111	626
151	111	623
152	112	620
153	112	617
154	112	614
155	113	611
156	113	608
157	113	605
158	113	602
159	114	599
160	114	596
161	114	594
162	115	591
163	115	589
164	115	586
165	116	584
166	116	581
167	116	578
168	117	576
169	117	574
170	118	572
171	118	570
172	119	569
173	119	567
174	119	565
175	120	563
176	120	561
177	121	561
178	122	560
179	122	559
180	123	558
181	123	557
182	124	555
183	124	553
184	125	551
185	125	549
186	125	547
187	126	545
188	126	544
189	127	542
190	127	540
191	132	559
192	153	640
193	160	665
194	165	683
195	174	716
196	174	713
197	175	709
198	179	723
199	180	721
200	180	718
201	180	714
202	181	711
203	181	708
204	186	723
205	187	720
206	187	718
207	187	715
208	188	712
209	188	709
210	193	723
211	193	720
212	194	717
213	199	731
214	199	728
215	199	725
216	200	722
217	200	719
218	201	719
219	202	716
220	202	713
221	202	710
222	203	708
223	203	706
224	204	702
225	204	699
226	204	697
227	205	694
228	205	691
229	205	689
230	206	686
231	206	684
232	207	681
233	208	681
234	208	678
235	208	676
236	209	673
237	209	671
238	210	668
239	210	667
240	211	664
241	211	662
242	211	659
243	212	657
244	215	665
245	216	663
246	216	660
247	217	658
248	217	655
249	217	653
250	218	650
251	218	648
